stock_code,subscription_date,event_context,subscriber_name,match_name,amount_subscribed,shares_subscribed,price_per_share,evidence_page,evidence_text,include_pevc,notes
688795,2022-12,增资及股权转让,和谐健康,,,,,第58页,2022年7-12月，和谐健康、中移基金、翊辰投资、红杉资本分别与摩尔有限签订《增资协议》；2022年12月分别认购新增注册资本。,是,
688795,2022-12,增资及股权转让,中移基金,,,,,第58页,2022年7-12月，和谐健康、中移基金、翊辰投资、红杉资本分别与摩尔有限签订《增资协议》；2022年12月分别认购新增注册资本。,是,
688795,2022-12,增资及股权转让,翊辰投资,,,,,第58页,2022年7-12月，和谐健康、中移基金、翊辰投资、红杉资本分别与摩尔有限签订《增资协议》；2022年12月分别认购新增注册资本。,是,
688795,2022-12,增资及股权转让,红杉资本,,,,,第58页,2022年7-12月，和谐健康、中移基金、翊辰投资、红杉资本分别与摩尔有限签订《增资协议》；2022年12月分别认购新增注册资本。,是,
688795,2023-10,增资,福建拓锋,,,,,第60页,2023年7-8月，福建拓锋、厦门辰安、厚雪资本、集美中和、策源电子基金分别签订《增资协议》并于2023年10月认购新增注册资本。,是,
688795,2023-10,增资,厦门辰安,,,,,第60页,2023年7-8月，福建拓锋、厦门辰安、厚雪资本、集美中和、策源电子基金分别签订《增资协议》并于2023年10月认购新增注册资本。,是,
688795,2023-10,增资,厚雪资本,,,,,第60页,2023年7-8月，福建拓锋、厦门辰安、厚雪资本、集美中和、策源电子基金分别签订《增资协议》并于2023年10月认购新增注册资本。,是,
688795,2023-10,增资,集美中和,,,,,第60页,2023年7-8月，福建拓锋、厦门辰安、厚雪资本、集美中和、策源电子基金分别签订《增资协议》并于2023年10月认购新增注册资本。,是,
688795,2023-10,增资,策源电子基金,,,,,第60页,2023年7-8月，福建拓锋、厦门辰安、厚雪资本、集美中和、策源电子基金分别签订《增资协议》并于2023年10月认购新增注册资本。,是,
688795,2024-12,增资,上海丽华,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,德辽创业,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,中科蓝讯,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,文信二号基金,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,嘉德利雅,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,久奕能元,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,盈趣科技,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,华控基金,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,深圳稳致,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,泉州开普勒,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,嘉兴上河,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,三亚神力,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,陕西千帆,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,浙江千帆,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,恒兴集团,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,拉萨联虹,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,厦门国贸,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,榕宁万石一期,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,圆周基金,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,金投鼎融,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,淄博白泽,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,杭州纪希,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,杭州富浙,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
688795,2024-12,增资,青岛图灵,,,,,第67页,2024年11-12月，38家Pre-IPO轮股东与摩尔线程签订增资协议；2024年12月新增股份由该38家主体认购。,是,
